"","RCT","IPSW","IPSW.norm","Stratification.n.10","G.formula","AIPSW","CW","ACW","n","m","param_RCT","outcome"
"2",12.0170398781928,32.5979631578175,31.7651222978425,27.5801844779138,27.1844200718983,27.2060468179161,30.6896081161054,27.2475248559384,1000,49000,"correct","correct"
"3",13.820426004636,26.5969299584753,24.0445258532475,25.9709229710285,27.3294099012495,27.386068549295,24.7944182009438,27.4170585476685,1000,49000,"correct","correct"
"4",16.7444625388616,23.8583472202772,29.0520277559462,27.0963922943449,27.520120796082,27.5731967788848,30.2373408113358,27.5004552698082,1000,49000,"correct","correct"
"5",11.2894105477281,34.0509493535531,24.9112973363282,27.9374967327349,27.8826659919394,27.9314067747056,26.0268302539187,27.9823753508004,1000,49000,"correct","correct"
"6",12.3447781663629,27.5698247745531,24.5631794872881,26.4416078225945,27.1492608042011,27.1795027546993,23.0758749316655,27.1908054005502,1000,49000,"correct","correct"
"7",15.9417606531716,26.5804118659269,25.8133196549005,24.599792402623,27.3662969375682,27.4192694053615,26.9866568716588,27.427106509569,1000,49000,"correct","correct"
"8",15.9025692196877,27.0023492969445,24.5091750950469,27.395428449442,27.5008544341354,27.5581360246584,25.3886852505054,27.5719393102733,1000,49000,"correct","correct"
"9",14.4827428223868,25.1854815191169,22.7534859590247,24.7817075353748,27.575889895306,27.5825868786466,24.9374437143243,27.564540753991,1000,49000,"correct","correct"
"10",15.5090713822215,26.5031860518911,27.4470222235684,26.5714421316629,27.620784268652,27.614687347137,27.3082455051281,27.6320941813157,1000,49000,"correct","correct"
"11",17.5935976953147,27.5094141898603,33.7328750740205,28.3417899139667,27.1375343582439,27.1036909227267,32.9459819837549,27.079209397729,1000,49000,"correct","correct"
"12",17.000293348915,18.9692968712848,27.1300489342544,27.1604248849986,27.3576808130006,27.3285953071294,27.3796724626823,27.3554429580084,1000,49000,"correct","correct"
"13",12.6358474528816,31.6927822674074,26.4445015708335,27.485095510323,27.6658573945227,27.6269840157258,25.9374504894583,27.59676352418,1000,49000,"correct","correct"
"14",14.4886432166697,25.9458067663017,23.9512552054484,25.88537766848,27.5095808899665,27.4898901232052,24.9815756020812,27.4784377777326,1000,49000,"correct","correct"
"15",13.4319080606468,27.3392572047419,26.0251715974539,26.2075975311803,27.2939868828555,27.2998117847842,25.5193830839739,27.3109316448173,1000,49000,"correct","correct"
"16",13.7181371629712,26.6156022510896,26.2896241264474,26.5129516377283,27.5098979645449,27.5915138959766,27.3022547947,27.6258119929939,1000,49000,"correct","correct"
"17",14.2235460733317,33.1894901055117,30.5634657786955,26.9266758868599,27.2209173330115,27.2180428299408,29.8788662988533,27.2015179751594,1000,49000,"correct","correct"
